"element","isotope","mass","abundance","ratioC","Mass_Dif","unsaturation"
"[164]Er","164Er",163.9292,0.0477867653642957,0,-2.00109309999999,0
"Er","166Er",165.9302931,1,0,0,0
"[167]Er","167Er",166.9320482,0.682595588454765,0,1.0017551,0
"[168]Er","168Er",167.9323702,0.805241321672686,0,2.00207710000001,0
"[170]Er","170Er",169.9354643,0.445034773005403,0,4.00517120000001,0
"Tm","169Tm",168.9342133,1,0,0,0
"[168]Yb","168Yb",167.933897,0.0040841972981464,0,-6.00496509999999,0
"[170]Yb","170Yb",169.9347618,0.095507382972039,0,-4.0041003,0
"[171]Yb","171Yb",170.9363258,0.448633364750236,0,-3.0025363,0
"[172]Yb","172Yb",171.9363815,0.685830977065661,0,-2.00248059999998,0
"[173]Yb","173Yb",172.9382108,0.506754633993088,0,-1.00065129999999,0
"Yb","174Yb",173.9388621,1,0,0,0
"[176]Yb","176Yb",175.9425717,0.400879673264216,0,2.00370960000001,0
"Lu","175Lu",174.9407718,1,0,0,0
"[176]Lu","176Lu",175.9426863,0.026588645929576,0,1.0019145,0
"[174]Hf","174Hf",173.940046,0.00456100342075257,0,-6.00650400000001,0
"[176]Hf","176Hf",175.9414086,0.149942987457241,0,-4.00514140000001,0
"[177]Hf","177Hf",176.9432207,0.530216647662486,0,-3.00332929999999,0
"[178]Hf","178Hf",177.9436988,0.777651083238312,0,-2.00285120000001,0
"[179]Hf","179Hf",178.9458161,0.388255416191562,0,-1.0007339,0
"Hf","180Hf",179.94655,1,0,0,0
"[180]Ta","180Ta",179.9474648,0.000120014401728207,0,-1.000531,0
"Ta","181Ta",180.9479958,1,0,0,0
"[180]W","180W",179.946704,0.00391644908616188,0,-4.0042272,0
"[182]W","182W",181.9482042,0.864882506527415,0,-2.00272700000002,0
"[183]W","183W",182.950223,0.467036553524804,0,-1.00070820000002,0
"W","184W",183.9509312,1,0,0,0
"[186]W","186W",185.9543641,0.927872062663185,0,2.00343289999998,0
"[185]Re","185Re",184.952955,0.597444089456869,0,-2.00279810000001,0
"Re","187Re",186.9557531,1,0,0,0
"[184]Os","184Os",183.9524891,0.000490436488474743,0,-8.0089916,0
"[186]Os","186Os",185.9538382,0.038989700833742,0,-6.0076425,0
"[187]Os","187Os",186.9557505,0.0480627758705248,0,-5.00573020000002,0
"[188]Os","188Os",187.9558382,0.32466895537028,0,-4.00564250000002,0
"[189]Os","189Os",188.9581475,0.396027464443355,0,-3.00333320000001,0
"[190]Os","190Os",189.958447,0.643943109367337,0,-2.0030337,0
"Os","192Os",191.9614807,1,0,0,0
"[191]Ir","191Ir",190.960594,0.594896331738437,0,-2.0023324,0
"Ir","193Ir",192.9629264,1,0,0,0
"[190]Pt","190Pt",189.959932,0.000413809411208323,0,-5.0048591,0
"[192]Pt","192Pt",191.961038,0.0231142113974935,0,-3.00375310000001,0
